"","CDSR.id","ma.id","study.name","ID","counter","n1","r1","n2","r2","total_count","dzs_count","dz_ratio"
"1","CD000031",20,"Anthenelli 2016",59,1,989,19,999,16,25,8,0.32
"2","CD000031",20,"Anthenelli 2016",59,2,1017,29,1015,25,25,8,0.32
"3","CD000031",20,"Aubin 2004",59,3,340,7,164,1,25,8,0.32
"4","CD000031",20,"Cinciripini 2013",59,4,102,3,106,2,25,8,0.32
"5","CD000031",20,"Cox 2012",59,5,270,8,270,13,25,8,0.32
"6","CD000031",20,"Eisenberg 2013",59,6,192,34,200,37,25,8,0.32
"7","CD000031",20,"Ferry 1992",59,7,23,1,23,1,25,8,0.32
"8","CD000031",20,"Ferry 1994",59,8,94,0,93,0,25,8,0.32
"9","CD000031",20,"Fossati 2007",59,9,400,8,193,2,25,8,0.32
"10","CD000031",20,"George 2008",59,10,30,1,29,2,25,8,0.32
"11","CD000031",20,"Gilbert 2019",59,11,34,0,35,0,25,8,0.32
"12","CD000031",20,"Gonzales 2001",59,12,226,4,224,2,25,8,0.32
"13","CD000031",20,"HaggstrÃ¤m 2006",59,13,53,0,51,0,25,8,0.32
"14","CD000031",20,"Hurt 1997",59,14,153,0,51,0,25,8,0.32
"15","CD000031",20,"Hurt 1997",59,15,153,0,51,0,25,8,0.32
"16","CD000031",20,"Hurt 1997",59,16,156,3,51,0,25,8,0.32
"17","CD000031",20,"Jorenby 1999",59,17,243,3,159,0,25,8,0.32
"18","CD000031",20,"Kalman 2011",59,18,73,0,70,0,25,8,0.32
"19","CD000031",20,"Muramoto 2007",59,19,105,2,52,0,25,8,0.32
"20","CD000031",20,"Muramoto 2007",59,20,104,0,51,0,25,8,0.32
"21","CD000031",20,"Nides 2006",59,21,126,4,123,0,25,8,0.32
"22","CD000031",20,"SMK20001 NOTES=&lt;p&gt;Link updated 2009&lt;/p&gt; NOTES_MODIFIED=2009-08-12 17:48:48 +0000 NOTES_MODIFIED_BY=6CC7734682E26AA2008F53C85074DEB8",59,22,143,4,143,3,25,8,0.32
"23","CD000031",20,"Tidey 2011",59,23,23,0,29,0,25,8,0.32
"24","CD000031",20,"Tonnesen 2003",59,24,527,7,180,1,25,8,0.32
"25","CD000031",20,"Zellweger 2005",59,25,518,2,169,2,25,8,0.32
"26","CD000031",54,"Anthenelli 2016",161,1,989,19,999,16,25,8,0.32
"27","CD000031",54,"Anthenelli 2016",161,2,1017,29,1015,25,25,8,0.32
"28","CD000031",54,"Aubin 2004",161,3,340,7,164,1,25,8,0.32
"29","CD000031",54,"Cinciripini 2013",161,4,102,3,106,2,25,8,0.32
"30","CD000031",54,"Cox 2012",161,5,270,8,270,13,25,8,0.32
"31","CD000031",54,"Eisenberg 2013",161,6,192,34,200,37,25,8,0.32
"32","CD000031",54,"Ferry 1992",161,7,23,1,23,1,25,8,0.32
"33","CD000031",54,"Ferry 1994",161,8,94,0,93,0,25,8,0.32
"34","CD000031",54,"Fossati 2007",161,9,400,8,193,2,25,8,0.32
"35","CD000031",54,"George 2008",161,10,30,1,29,2,25,8,0.32
"36","CD000031",54,"Gilbert 2019",161,11,34,0,35,0,25,8,0.32
"37","CD000031",54,"Gonzales 2001",161,12,226,4,224,2,25,8,0.32
"38","CD000031",54,"HaggstrÃ¤m 2006",161,13,53,0,51,0,25,8,0.32
"39","CD000031",54,"Hurt 1997",161,14,156,3,51,0,25,8,0.32
"40","CD000031",54,"Hurt 1997",161,15,153,0,51,0,25,8,0.32
"41","CD000031",54,"Hurt 1997",161,16,153,0,51,0,25,8,0.32
"42","CD000031",54,"Jorenby 1999",161,17,243,3,159,0,25,8,0.32
"43","CD000031",54,"Kalman 2011",161,18,73,0,70,0,25,8,0.32
"44","CD000031",54,"Muramoto 2007",161,19,104,0,51,0,25,8,0.32
"45","CD000031",54,"Muramoto 2007",161,20,105,2,52,0,25,8,0.32
"46","CD000031",54,"Nides 2006",161,21,126,4,123,0,25,8,0.32
"47","CD000031",54,"SMK20001 NOTES=&lt;p&gt;Link updated 2009&lt;/p&gt; NOTES_MODIFIED=2009-08-12 17:48:48 +0000 NOTES_MODIFIED_BY=6CC7734682E26AA2008F53C85074DEB8",161,22,143,4,143,3,25,8,0.32
"48","CD000031",54,"Tidey 2011",161,23,23,0,29,0,25,8,0.32
